Title,Category,Methods,Abstract
"Knowledge, Attitude and practice of Computer Vision Syndrome among medical students and its impact on ocular morbidity",computer vision,None,"BACKGROUND: Computer vision syndrome is a common global problem among millions of computer users including medical students. Medical students are preferring soft copies rather than textbooks. The aim of this study was to assess the knowledge, attitude, and practice of MBBS students about Computer vision syndrome, and to identify its ocular morbidity among them.
METHODS: A descriptive cross-sectional survey based on the questionnaire was conducted among 1st- 4th year MBBS students of the Institute of Medicine and 80 students underwent detailed ocular evaluation.
RESULTS: A complete survey response was received from 236 students out of 299 students (Response Rate 80%). The mean age of MBBS students was 21.38 years ± 1.328 years and the range were 19-22 years; 76.2% were male and 23.8% were female. The majority (37.2%) spent 2-3 hours/day on the computer and had a higher risk (p-0.0001) of developing Computer vision syndrome. About 69.5% students used a computer at the level of the eye but there was a significant reduction in Computer vision syndrome (p-0.0001) among those who had computer screen below the eye level. Association between taking breaks (p-0.0001) and frequent blinking (p-0.0411) during computer use and relief of symptoms was significant. Only 22.9% had pre-existing knowledge of Computer vision syndrome and only 25.5% of them were practicing the ideal viewing distance. Among 80 medical students randomly selected for detail eye examinations (63.7% male;36.2% female), the prevalence of Computer vision syndrome  was 71.6%. The commonest ocular complaint was a headache (50%) and dry eyes (45%). Myopia was the commonest refractive error (31.2%) and the orthoptic problem was prevalent among 17.5% students.
CONCLUSIONS: The survey showed that Computer vision syndrome is relevant among MBBS students but the knowledge, attitude, and practice of Computer vision syndrome among them is poor."
Ossification area localization in pediatric hand radiographs using deep neural networks for object detection,other,neural network,"BACKGROUND: Detection of ossification areas of hand bones in X-ray images is an important task, e.g. as a preprocessing step in automated bone age estimation. Deep neural networks have emerged recently as de facto standard detection methods, but their drawback is the need of large annotated datasets. Finetuning pre-trained networks is a viable alternative, but it is not clear a priori if training with small annotated datasets will be successful, as it depends on the problem at hand. In this paper, we show that pre-trained networks can be utilized to produce an effective detector of ossification areas in pediatric X-ray images of hands.
METHODS AND FINDINGS: A publicly available Faster R-CNN network, pre-trained on the COCO dataset, was utilized and finetuned with 240 manually annotated radiographs from the RSNA Pediatric Bone Age Challenge, which comprises over 14.000 pediatric radiographs. The validation is done on another 89 radiographs from the dataset and the performance is measured by Intersection-over-Union (IoU). To understand the effect of the data size on the pre-trained network, subsampling was applied to the training data and the training was repeated. Additionally, the network was trained from scratch without any pre-trained weights. Finally, to understand whether the trained model could be useful, we compared the inference of the network to an annotation of an expert radiologist. The finetuned network was able to achieve an average precision (mAP@0.5IoU) of 92.92 ± 1.93. Apart from the wrist region, all ossification areas were able to benefit from more data. In contrast, the network trained from scratch was not able to produce any correct results. When compared to the annotations of the expert radiologist, the network was able to localize the regions quite well, as the F1-Score was on average 91.85 ± 1.06.
CONCLUSIONS: By finetuning a pre-trained deep neural network, with 240 annotated radiographs, we were able to successfully detect ossification areas in prediatric hand radiographs."
"Mono-exponential, diffusion kurtosis and stretched exponential diffusion MR imaging response to chemoradiation in newly diagnosed glioblastoma",other,None,"PURPOSE: To quantify changes and prognostic value of diffusion MRI measurements obtained using mono-exponential, diffusion kurtosis imaging (DKI) and stretched exponential (SE) models prior and after chemoradiation in newly diagnosed glioblastoma (GBM).
METHODS: Diffusion-weighted images (DWIs) were acquired in twenty-three patients following surgery, prior chemoradiation and within 7 days following completion of treatment, using b-values ranging from 0 to 5000s/mm2. Mono-exponential diffusion (apparent diffusion coefficient: ADC), isotropic (non-directional) DKI model with apparent diffusivity (Dapp) and kurtosis (Kapp) estimates as well as SE model with distributed-diffusion coefficient (DDC) and mean intra-voxel heterogeneity (α) were computed for all patients prior and after chemoradiation. Median values were calculated for normal appearing white matter (NAWM) and contrast-enhancing tumor (CET). The magnitudes of diffusion change prior and after chemoradiation were used to predict overall survival (OS).
RESULTS: Diffusivity in NAWM was consistent for all diffusion measures during chemoradiation, while diffusivity measurements (ADC, Dapp and DDC) within CET changed significantly. A strong positive correlation existed between ADC, Dapp, and DDC measurements prior to chemoradiation; however, this association was weak following chemoradiation, suggesting a more complex microstructural environment after cytotoxic therapy. When combined with baseline tumor volume and MGMT status, age and ADC changes added significant prognostic values, whereas more complex diffusion models did not show significant value in predicting OS.
CONCLUSIONS: Despite increased tissue complexity following chemoradiation, advanced diffusion models have longer acquisition times, provide largely comparable measures of diffusivity, and do not appear to provide additional prognostic value compared to mono-exponential ADC maps."
Artificial neural networks for cancer research: outcome prediction,computer vision,"neural network, artificial neural network","The use of artificial neural networks in biological and medical research has increased tremendously in the last few years. Artificial neural networks are being used in cancer research for image processing, the analysis of laboratory data for breast cancer diagnosis, the discovery of chemotherapeutic agents, and for cancer outcome prediction. A neural network generalizes from the input data to patterns inherent in the data, and its uses these patterns to make predictions or to classify. This paper explains how neural networks work, and it shows that a neural network is more accurate at predicting breast cancer patient outcome than the current staging system."
Improvement in specificity of ultrasonography for diagnosis of breast tumors by means of artificial intelligence,computer vision,"neural network, artificial neural network","A set of ultrasonograms of lesions from 200 patients between the ages of 14 and 93 years who underwent mammography followed by ultrasonographic examination and excisional biopsy has been studied with computer vision techniques to improve the ultrasonographic specificity of the diagnosis. Selected features representing the texture of the lesion were calculated and then classified by an artificial neural network. This network was biased toward correctly classifying all the malignant cases at the expense of some misclassification of the benign cases. The network diagnosed the malignant cases with 100% sensitivity and 40% specificity (compared with 0% specificity for the radiologists diagnosing the same set of cases in the breast imaging setting), and tests performed with a leave-one-out technique indicate that the network will generalize well to new cases. This suggests that methods based on neural network classification of texture features show promise for potentially decreasing the number of unnecessary biopsies by a significant amount in patients with sonographically identifiable lesions."
SAPPNet: students' academic performance prediction during COVID-19 using neural network,other,"neural network, artificial neural network, convolutional neural network","A variety of reasons have made it more difficult for educators and tutors to anticipate students' performance. Numerous researchers have used various predictive models to identify students who may be at-risk of dropping out early. Additionally, these methods were used to forecast final semester grades based on various datasets. However, these prediction models still fall short of meeting educational management requirements. In this paper, we propose the deep learning (DL) based model named students academic performance prediction network (SAPPNet) to predict the students' grades. We consider the questionnaire-based Jordan University dataset which contains demographic information, usage of digital tools before and after COVID-19, sleep times before and after COVID-19, social interaction, psychological state, and academic performance. SAPPNet consists of spatial convolution modules which are designed to extract spatial dependencies includes categorical and numerical attributes that represent static features (gender, level/year, age, digital tools used before and after COVID-19, psychological condition using prolonged e-learning tools) and temporal module for temporal dependencies involves sequences that capture changes before and after COVID-19. Additionally, we also try to implement classical machine learning (ML) models including support vector machine, k nearest neighbor, decision tree, and random forest, and DL models named artificial neural network, convolutional neural network, long short-term memory, and students learning prediction network. Simulation results show that SAPPNet achieved the best performance compared to state-of-the-art methods, with an accuracy, precision, recall, and an F1-score of 93 %  . The proposed model with spatial and temporal modules improves the prediction performance, and it implies new aspect of the educational dataset."
Predicting SARS-CoV-2 infection among hemodialysis patients using deep neural network methods,other,"neural network, convolutional neural network, recurrent neural network","COVID-19 has a higher rate of morbidity and mortality among dialysis patients than the general population. Identifying infected patients early with the support of predictive models helps dialysis centers implement concerted procedures (e.g., temperature screenings, universal masking, isolation treatments) to control the spread of SARS-CoV-2 and mitigate outbreaks. We collect data from multiple sources, including demographics, clinical, treatment, laboratory, vaccination, socioeconomic status, and COVID-19 surveillance. Previous early prediction models, such as logistic regression, SVM, and XGBoost, require sophisticated feature engineering and need improved prediction performance. We create deep learning models, including Recurrent Neural Networks (RNN) and Convolutional Neural Networks (CNN), to predict SARS-CoV-2 infections during incubation. Our study shows deep learning models with minimal feature engineering can identify those infected patients more accurately than previously built models. Our Long Short-Term Memory (LSTM) model consistently performed well, with an AUC exceeding 0.80, peaking at 0.91 in August 2021. The CNN model also demonstrated strong results with an AUC above 0.75. Both models outperformed previous best XGBoost models by over 0.10 in AUC. Prediction accuracy declined as the pandemic evolved, dropping to approximately 0.75 between September 2021 and January 2022. Maintaining a 20% false positive rate, our LSTM and CNN models identified 66% and 64% of positive cases among patients, significantly outperforming XGBoost models at 42%. We also identify key features for dialysis patients by calculating the gradient of the output with respect to the input features. By closely monitoring these factors, dialysis patients can receive earlier diagnoses and care, leading to less severe outcomes. Our research highlights the effectiveness of deep neural networks in analyzing longitudinal data, especially in predicting COVID-19 infections during the crucial incubation period. These deep network approaches surpass traditional methods relying on aggregated variable means, significantly improving the accurate identification of SARS-CoV-2 infections."
Joint self-supervised and supervised contrastive learning for multimodal MRI data: Towards predicting abnormal neurodevelopment,other,None,"The integration of different imaging modalities, such as structural, diffusion tensor, and functional magnetic resonance imaging, with deep learning models has yielded promising outcomes in discerning phenotypic characteristics and enhancing disease diagnosis. The development of such a technique hinges on the efficient fusion of heterogeneous multimodal features, which initially reside within distinct representation spaces. Naively fusing the multimodal features does not adequately capture the complementary information and could even produce redundancy. In this work, we present a novel joint self-supervised and supervised contrastive learning method to learn the robust latent feature representation from multimodal MRI data, allowing the projection of heterogeneous features into a shared common space, and thereby amalgamating both complementary and analogous information across various modalities and among similar subjects. We performed a comparative analysis between our proposed method and alternative deep multimodal learning approaches. Through extensive experiments on two independent datasets, the results demonstrated that our method is significantly superior to several other deep multimodal learning methods in predicting abnormal neurodevelopment. Our method has the capability to facilitate computer-aided diagnosis within clinical practice, harnessing the power of multimodal data. The source code of the proposed model is publicly accessible on GitHub: https://github.com/leonzyzy/Contrastive-Network."
Validation of an Artificial Intelligence-Based Prediction Model Using 5 External PET/CT Datasets of Diffuse Large B-Cell Lymphoma,other,None,"The aim of this study was to validate a previously developed deep learning model in 5 independent clinical trials. The predictive performance of this model was compared with the international prognostic index (IPI) and 2 models incorporating radiomic PET/CT features (clinical PET and PET models). Methods: In total, 1,132 diffuse large B-cell lymphoma patients were included: 296 for training and 836 for external validation. The primary outcome was 2-y time to progression. The deep learning model was trained on maximum-intensity projections from PET/CT scans. The clinical PET model included metabolic tumor volume, maximum distance from the bulkiest lesion to another lesion, SUV<sub>peak</sub>, age, and performance status. The PET model included metabolic tumor volume, maximum distance from the bulkiest lesion to another lesion, and SUV<sub>peak</sub> Model performance was assessed using the area under the curve (AUC) and Kaplan-Meier curves. Results: The IPI yielded an AUC of 0.60 on all external data. The deep learning model yielded a significantly higher AUC of 0.66 (P &lt; 0.01). For each individual clinical trial, the model was consistently better than IPI. Radiomic model AUCs remained higher for all clinical trials. The deep learning and clinical PET models showed equivalent performance (AUC, 0.69; P &gt; 0.05). The PET model yielded the highest AUC of all models (AUC, 0.71; P &lt; 0.05). Conclusion: The deep learning model predicted outcome in all trials with a higher performance than IPI and better survival curve separation. This model can predict treatment outcome in diffuse large B-cell lymphoma without tumor delineation but at the cost of a lower prognostic performance than with radiomics."
Ascle-A Python Natural Language Processing Toolkit for Medical Text Generation: Development and Evaluation Study,text mining,None,"BACKGROUND: Medical texts present significant domain-specific challenges, and manually curating these texts is a time-consuming and labor-intensive process. To address this, natural language processing (NLP) algorithms have been developed to automate text processing. In the biomedical field, various toolkits for text processing exist, which have greatly improved the efficiency of handling unstructured text. However, these existing toolkits tend to emphasize different perspectives, and none of them offer generation capabilities, leaving a significant gap in the current offerings.
OBJECTIVE: This study aims to describe the development and preliminary evaluation of Ascle. Ascle is tailored for biomedical researchers and clinical staff with an easy-to-use, all-in-one solution that requires minimal programming expertise. For the first time, Ascle provides 4 advanced and challenging generative functions: question-answering, text summarization, text simplification, and machine translation. In addition, Ascle integrates 12 essential NLP functions, along with query and search capabilities for clinical databases.
METHODS: We fine-tuned 32 domain-specific language models and evaluated them thoroughly on 27 established benchmarks. In addition, for the question-answering task, we developed a retrieval-augmented generation (RAG) framework for large language models that incorporated a medical knowledge graph with ranking techniques to enhance the reliability of generated answers. Additionally, we conducted a physician validation to assess the quality of generated content beyond automated metrics.
RESULTS: The fine-tuned models and RAG framework consistently enhanced text generation tasks. For example, the fine-tuned models improved the machine translation task by 20.27 in terms of BLEU score. In the question-answering task, the RAG framework raised the ROUGE-L score by 18% over the vanilla models. Physician validation of generated answers showed high scores for readability (4.95/5) and relevancy (4.43/5), with a lower score for accuracy (3.90/5) and completeness (3.31/5).
CONCLUSIONS: This study introduces the development and evaluation of Ascle, a user-friendly NLP toolkit designed for medical text generation. All code is publicly available through the Ascle GitHub repository. All fine-tuned language models can be accessed through Hugging Face."
Deep learning-based approaches for multi-omics data integration and analysis,other,"neural network, feedforward neural network, convolutional neural network","BACKGROUND: The rapid growth of deep learning, as well as the vast and ever-growing amount of available data, have provided ample opportunity for advances in fusion and analysis of complex and heterogeneous data types. Different data modalities provide complementary information that can be leveraged to gain a more complete understanding of each subject. In the biomedical domain, multi-omics data includes molecular (genomics, transcriptomics, proteomics, epigenomics, metabolomics, etc.) and imaging (radiomics, pathomics) modalities which, when combined, have the potential to improve performance on prediction, classification, clustering and other tasks. Deep learning encompasses a wide variety of methods, each of which have certain strengths and weaknesses for multi-omics integration.
METHOD: In this review, we categorize recent deep learning-based approaches by their basic architectures and discuss their unique capabilities in relation to one another. We also discuss some emerging themes advancing the field of multi-omics integration.
RESULTS: Deep learning-based multi-omics integration methods were categorized broadly into non-generative (feedforward neural networks, graph convolutional neural networks, and autoencoders) and generative (variational methods, generative adversarial models, and a generative pretrained model). Generative methods have the advantage of being able to impose constraints on the shared representations to enforce certain properties or incorporate prior knowledge. They can also be used to generate or impute missing modalities. Recent advances achieved by these methods include the ability to handle incomplete data as well as going beyond the traditional molecular omics data types to integrate other modalities such as imaging data.
CONCLUSION: We expect to see further growth in methods that can handle missingness, as this is a common challenge in working with complex and heterogeneous data. Additionally, methods that integrate more data types are expected to improve performance on downstream tasks by capturing a comprehensive view of each sample."
